STUDY_ID	SAMPLE_ID	EGFR	KRAS	ALK	ERBB2	CD274
luad_tcga_pan_can_atlas_2018	TCGA-55-1594-01	19291.3	1829.8	3.5377	13515.3	73.5063
luad_tcga_pan_can_atlas_2018	TCGA-55-1595-01	509.666	2238.34	1.526	13071.7	67.7544
luad_tcga_pan_can_atlas_2018	TCGA-55-1596-01	27.8271	986.975	5.3286	26116	20.7223
luad_tcga_pan_can_atlas_2018	TCGA-55-5899-01	794.394	1156.74	14.8593	706.958	62.2946
luad_tcga_pan_can_atlas_2018	TCGA-55-6543-01	1549.05	901.895	22.854	5633.78	112.597
luad_tcga_pan_can_atlas_2018	TCGA-55-6642-01	2391.2	2277.85	4.5872	6954.13	60.2883
luad_tcga_pan_can_atlas_2018	TCGA-55-6712-01	2237.95	1601.61	8.0663	10289.9	220.48
luad_tcga_pan_can_atlas_2018	TCGA-55-6968-01	143.675	1360.62	10.8758	859.187	119.634
luad_tcga_pan_can_atlas_2018	TCGA-55-6969-01	225.597	1040.02	6.554	2837.9	76.2338
luad_tcga_pan_can_atlas_2018	TCGA-55-6970-01	701.234	1553.16	5.7822	3928.36	109.219
luad_tcga_pan_can_atlas_2018	TCGA-55-6971-01	638.916	1677.64	13.5528	2907.07	149.08
luad_tcga_pan_can_atlas_2018	TCGA-55-6972-01	399.543	1234.02	2.2831	7367.58	5.7078
luad_tcga_pan_can_atlas_2018	TCGA-55-6975-01	870.88	1497.9	3.3529	4995.81	10.0587
luad_tcga_pan_can_atlas_2018	TCGA-55-6978-01	1186.67	2068.59	8.6461	2072.55	689.529
luad_tcga_pan_can_atlas_2018	TCGA-55-6979-01	1832.89	1025.33	14.0938	6593.8	309.36
luad_tcga_pan_can_atlas_2018	TCGA-55-6980-01	1549.96	1456.23	5.305	5678.16	83.1123
luad_tcga_pan_can_atlas_2018	TCGA-55-6981-01	9654.83	1708.77	9.6491	11758.8	72.807
luad_tcga_pan_can_atlas_2018	TCGA-55-6982-01	1746.93	2116.62	17.5156	3371.28	80.2028
luad_tcga_pan_can_atlas_2018	TCGA-55-6983-01	445.028	1581.56	10.6383	6487.23	31.5603
luad_tcga_pan_can_atlas_2018	TCGA-55-6984-01	535.649	2789.76	0	7631.63	36.5631
luad_tcga_pan_can_atlas_2018	TCGA-55-6985-01	1589.53	2051.49	5.9701	8072.39	111.94
luad_tcga_pan_can_atlas_2018	TCGA-55-6986-01	920.058	800.145	11.6279	7119.19	47.2384
luad_tcga_pan_can_atlas_2018	TCGA-55-6987-01	270.823	1413.49	7.4153	4306.85	243.644
luad_tcga_pan_can_atlas_2018	TCGA-55-7227-01	1059.43	870.076	4.8376	7236.35	156.185
luad_tcga_pan_can_atlas_2018	TCGA-55-7281-01	402.849	1882.62	3.4188	11495.2	29.0598
luad_tcga_pan_can_atlas_2018	TCGA-55-7283-01	2141.85	1856.64	5.0125	7595.99	45.1128
luad_tcga_pan_can_atlas_2018	TCGA-55-7284-01	1335.03	2050.44	109.394	6097.4	71.6828
luad_tcga_pan_can_atlas_2018	TCGA-55-7570-01	19.6078	1147.71	3.9216	1690.63	24.4009
luad_tcga_pan_can_atlas_2018	TCGA-55-7573-01	1843.05	911.929	4.8038	6490.79	44.0352
luad_tcga_pan_can_atlas_2018	TCGA-55-7574-01	654.868	1800.36	7.9381	3937.29	47.6285
luad_tcga_pan_can_atlas_2018	TCGA-55-7576-01	1309.9	2777.95	7.576	10526.7	64.7626
luad_tcga_pan_can_atlas_2018	TCGA-55-7724-01	2269.54	1878.76	9.018	1613.23	60.1202
luad_tcga_pan_can_atlas_2018	TCGA-55-7725-01	1535.64	3121.85	6.3025	2657.56	120.798
luad_tcga_pan_can_atlas_2018	TCGA-55-7726-01	6583.8	2169.48	0.8873	2576.75	31.9432
luad_tcga_pan_can_atlas_2018	TCGA-55-7727-01	1317.43	1215.6	4.5872	5210.09	73.3945
luad_tcga_pan_can_atlas_2018	TCGA-55-7728-01	247.82	1319.13	43.3414	5223.19	80.7557
luad_tcga_pan_can_atlas_2018	TCGA-55-7815-01	295.591	3671.34	6.012	2724.45	119.239
luad_tcga_pan_can_atlas_2018	TCGA-55-7816-01	1654.59	1249.46	4.7312	2966.88	103.656
luad_tcga_pan_can_atlas_2018	TCGA-55-7903-01	1251.12	1403.59	10.4634	16940.2	204.783
luad_tcga_pan_can_atlas_2018	TCGA-55-7907-01	688.812	3030.49	2.3456	14172	52.3847
luad_tcga_pan_can_atlas_2018	TCGA-55-7910-01	366.657	1875	0.9259	5494.44	29.6296
luad_tcga_pan_can_atlas_2018	TCGA-55-7911-01	663.925	2978.72	7.4006	8548.17	230.474
luad_tcga_pan_can_atlas_2018	TCGA-55-7913-01	656.833	3263.36	2.2957	6433.75	13.4873
luad_tcga_pan_can_atlas_2018	TCGA-55-7914-01	937.032	1569.72	2.9985	4699.65	78.9605
luad_tcga_pan_can_atlas_2018	TCGA-55-7994-01	2876.38	1249.03	4.7492	8845.49	814.957
luad_tcga_pan_can_atlas_2018	TCGA-55-7995-01	1177.73	1948.65	7.6384	6333.4	157.861
luad_tcga_pan_can_atlas_2018	TCGA-55-8085-01	805.835	1322.55	3.4795	7365	47.3208
luad_tcga_pan_can_atlas_2018	TCGA-55-8087-01	1242.17	827.574	4.1885	11854.5	15.7068
luad_tcga_pan_can_atlas_2018	TCGA-55-8089-01	18056.9	1036.66	9.9798	4868.08	241.179
luad_tcga_pan_can_atlas_2018	TCGA-55-8090-01	1715.63	6327.97	13.6265	9965.62	245.277
